t,mid,q,x,pnl,sigma,spread
1.72288e+09,0.00727792,553,-1.92095,2.10374,3.82433e-06,2.00042e-06
1.72288e+09,0.00723483,543,-1.84835,2.08016,3.6327e-06,2.00447e-06
1.72288e+09,0.0072808,485,-1.42759,2.1036,3.61243e-06,2.00377e-06
1.72288e+09,0.0072736,470,-1.31811,2.10049,3.5557e-06,2.00302e-06
1.72288e+09,0.007239,479,-1.38274,2.08474,3.2013e-06,2.00194e-06
1.72288e+09,0.00729564,428,-1.01153,2.111,2.86747e-06,2.00114e-06
1.72288e+09,0.0072875,411,-0.887092,2.10807,2.78392e-06,2.00069e-06
1.72288e+09,0.00732712,363,-0.536025,2.12372,3.02986e-06,2.00036e-06
1.72288e+09,0.00724789,360,-0.512822,2.09642,3.24426e-06,2.00367e-06
1.72288e+09,0.00717997,351,-0.447616,2.07255,3.04957e-06,2.00278e-06
1.72288e+09,0.00713337,383,-0.676905,2.05518,2.96934e-06,2.0022e-06
1.72288e+09,0.0070812,365,-0.548366,2.03627,2.96684e-06,2.00175e-06
1.72288e+09,0.00714641,352,-0.455667,2.05987,2.8288e-06,2.00119e-06
1.72288e+09,0.00707461,339,-0.362818,2.03547,2.47224e-06,2.00061e-06
1.72288e+09,0.00705388,344,-0.397763,2.02877,2.55173e-06,2.00032e-06
1.72288e+09,0.00698607,387,-0.699552,2.00406,2.51076e-06,2.00226e-06
1.72288e+09,0.00705363,380,-0.651416,2.02896,2.6099e-06,2.00211e-06
1.72289e+09,0.00705324,398,-0.77781,2.02938,2.96965e-06,2.00229e-06
1.72289e+09,0.00721129,349,-0.428084,2.08866,3.29645e-06,2.00227e-06
1.72289e+09,0.0071422,366,-0.549788,2.06426,3.69488e-06,2.00217e-06
1.72289e+09,0.00704513,394,-0.748311,2.02747,3.59159e-06,2.00141e-06
1.72289e+09,0.00699892,386,-0.691811,2.00977,3.24879e-06,2.00062e-06
1.72289e+09,0.0070751,355,-0.473333,2.03833,3.16084e-06,2.00009e-06
1.72289e+09,0.0071672,320,-0.224805,2.0687,3.3191e-06,2.00352e-06
1.72289e+09,0.00714363,369,-0.57579,2.06021,3.19785e-06,2.00275e-06
1.72289e+09,0.00716479,366,-0.553724,2.06859,2.7453e-06,2.00165e-06
1.72289e+09,0.00719869,347,-0.41698,2.08097,2.50144e-06,2.00106e-06
1.72289e+09,0.00714384,363,-0.532348,2.06087,2.35325e-06,2.00066e-06
1.72289e+09,0.0071125,367,-0.560203,2.05008,2.40594e-06,2.0004e-06
1.72289e+09,0.00708571,374,-0.609812,2.04024,2.23524e-06,2.0001e-06
1.72289e+09,0.00715657,328,-0.281178,2.06618,2.41468e-06,2.00192e-06
1.72289e+09,0.00716976,335,-0.330729,2.07114,2.8836e-06,2.00232e-06
1.72289e+09,0.00719561,361,-0.518599,2.07902,3.02904e-06,2.0021e-06
1.72289e+09,0.007181,371,-0.590284,2.07387,2.5482e-06,2.00116e-06
1.72289e+09,0.00715708,378,-0.640256,2.06512,1.63958e-06,2.00035e-06
1.72289e+09,0.00709961,410,-0.868289,2.04255,1.23946e-06,2.00012e-06
1.72289e+09,0.0070864,425,-0.974245,2.03748,8.96709e-07,2.00002e-06
1.7229e+09,0.00712838,403,-0.817971,2.05477,1.56916e-06,2.00084e-06
1.7229e+09,0.00706829,448,-1.13807,2.02853,2.33056e-06,2.00157e-06
1.7229e+09,0.00715526,402,-0.810577,2.06584,2.69397e-06,2.00174e-06
1.7229e+09,0.00723462,348,-0.421993,2.09565,2.67411e-06,2.00135e-06
1.7229e+09,0.0072148,381,-0.660932,2.08791,2.5452e-06,2.0009e-06
1.7229e+09,0.00724015,388,-0.711449,2.09773,2.40942e-06,2.00052e-06
1.7229e+09,0.00721749,421,-0.94999,2.08858,2.16208e-06,2.00018e-06
1.7229e+09,0.00721197,418,-0.928131,2.08647,2.04937e-06,2.00147e-06
1.7229e+09,0.00726231,395,-0.761224,2.10739,2.23836e-06,2.0015e-06
1.7229e+09,0.00719632,481,-1.383,2.07843,2.60237e-06,2.00169e-06
1.7229e+09,0.00711195,525,-1.69863,2.03514,2.63481e-06,2.00138e-06
1.7229e+09,0.0071174,505,-1.55637,2.03791,2.28264e-06,2.00078e-06
1.7229e+09,0.0070826,524,-1.69111,2.02018,1.98385e-06,2.00039e-06
1.7229e+09,0.00710471,522,-1.67676,2.0319,1.92021e-06,2.00018e-06
1.7229e+09,0.0070433,553,-1.89589,1.99905,2.03293e-06,2.00148e-06
1.7229e+09,0.0072314,468,-1.29196,2.09233,2.4905e-06,2.00192e-06
1.7229e+09,0.00744439,432,-1.02841,2.18756,3.50553e-06,2.00318e-06
1.7229e+09,0.0074957,376,-0.609637,2.20875,4.34024e-06,2.00394e-06
1.7229e+09,0.00758127,356,-0.458418,2.24051,4.08646e-06,2.00266e-06
1.7229e+09,0.00760632,350,-0.412363,2.24985,3.5422e-06,2.00137e-06
1.72291e+09,0.00766048,326,-0.229041,2.26828,3.43899e-06,2.0007e-06
1.72291e+09,0.00761424,337,-0.313009,2.25299,3.16411e-06,2.00009e-06
1.72291e+09,0.00764853,326,-0.229662,2.26376,3.00583e-06,2.00288e-06
1.72291e+09,0.00773803,315,-0.144296,2.29318,3.03148e-06,2.00247e-06
1.72291e+09,0.00772747,357,-0.470601,2.28811,3.42588e-06,2.00257e-06
